Data,Ano_x,Mês_x,Dia_x,Hora_x,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Ano_y,Mês_y,Dia_y,Hora_y,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
2023-01-01 00:00:00,2023,1,1,0,0.0,0.467,0.0,2023,1,1,0,12.76,12.72,13.43,1019,95,2.02,3.72,100,moderate rain
2023-01-01 01:00:00,2023,1,1,1,0.0,0.577,0.0,2023,1,1,1,13.38,13.43,13.9,1018,95,2.18,3.26,100,moderate rain
2023-01-01 02:00:00,2023,1,1,2,0.0,0.346,0.0,2023,1,1,2,13.44,13.48,14.82,1017,95,2.88,2.44,100,moderate rain
2023-01-01 03:00:00,2023,1,1,3,0.0,0.27,0.0,2023,1,1,3,13.51,12.01,14.82,1016,95,3.63,1.74,100,moderate rain
2023-01-01 04:00:00,2023,1,1,4,0.0,0.252,0.0,2023,1,1,4,13.49,12.01,14.82,1015,95,4.58,1.13,100,moderate rain
2023-01-01 05:00:00,2023,1,1,5,0.0,0.255,0.0,2023,1,1,5,13.61,13.12,15.82,1014,95,6.36,1.23,99,moderate rain
2023-01-01 06:00:00,2023,1,1,6,0.0,0.256,0.0,2023,1,1,6,14.18,14.04,16.12,1014,95,8.55,1.2,100,moderate rain
2023-01-01 07:00:00,2023,1,1,7,0.0,0.263,0.0,2023,1,1,7,15.31,14.79,16.82,1015,93,8.37,2.2,100,moderate rain
2023-01-01 08:00:00,2023,1,1,8,0.275,0.0,0.002,2023,1,1,8,16.55,15.66,16.82,1015,77,8.29,2.2,100,moderate rain
2023-01-01 09:00:00,2023,1,1,9,0.331,0.0,0.0,2023,1,1,9,16.31,14.72,16.82,1014,76,8.38,2.13,100,moderate rain
2023-01-01 10:00:00,2023,1,1,10,0.271,0.0,0.0,2023,1,1,10,14.86,13.72,15.15,1015,87,7.31,2.04,100,moderate rain
2023-01-01 11:00:00,2023,1,1,11,0.25,0.0,0.022,2023,1,1,11,13.65,13.34,14.04,1014,94,7.36,3.1,100,moderate rain
2023-01-01 12:00:00,2023,1,1,12,0.778,0.0,0.056,2023,1,1,12,14.02,13.34,14.82,1014,94,6.82,4.96,100,heavy intensity rain
2023-01-01 13:00:00,2023,1,1,13,0.496,0.0,0.007,2023,1,1,13,14.05,13.9,14.82,1014,95,4.85,6.11,100,heavy intensity rain
2023-01-01 14:00:00,2023,1,1,14,0.338,0.0,0.016,2023,1,1,14,13.82,12.72,14.04,1014,94,3.26,6.38,100,heavy intensity rain
2023-01-01 15:00:00,2023,1,1,15,0.362,0.0,0.001,2023,1,1,15,13.36,12.57,13.82,1015,94,1.97,6.16,100,heavy intensity rain
2023-01-01 16:00:00,2023,1,1,16,1.326,0.0,0.0,2023,1,1,16,13.17,11.68,13.48,1015,95,1.77,5.42,100,heavy intensity rain
2023-01-01 17:00:00,2023,1,1,17,0.631,0.0,0.0,2023,1,1,17,11.55,11.72,12.32,1015,95,1.67,3.76,100,moderate rain
