Data,Ano_x,Mês_x,Dia_x,Hora_x,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),Ano_y,Mês_y,Dia_y,Hora_y,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
2021-09-29 00:00:00,2021,9,29,0,0.0,0.0,0.0,None,2021,9,29,0,13.54,11.45,14.04,1027,81,1.96,0.0,87,overcast clouds
2021-09-29 01:00:00,2021,9,29,1,0.0,0.0,0.0,None,2021,9,29,1,13.02,13.43,13.9,1028,82,1.83,0.0,91,overcast clouds
2021-09-29 02:00:00,2021,9,29,2,0.0,0.0,0.0,None,2021,9,29,2,12.47,12.72,13.43,1027,84,1.96,0.0,93,overcast clouds
2021-09-29 03:00:00,2021,9,29,3,0.0,0.0,0.0,None,2021,9,29,3,12.15,10.34,12.93,1027,85,1.85,0.0,95,overcast clouds
2021-09-29 04:00:00,2021,9,29,4,0.0,0.0,0.0,None,2021,9,29,4,12.17,9.79,12.93,1027,86,1.83,0.0,93,overcast clouds
2021-09-29 05:00:00,2021,9,29,5,0.0,0.0,0.0,None,2021,9,29,5,12.16,11.72,12.93,1028,85,2.04,0.0,90,overcast clouds
2021-09-29 06:00:00,2021,9,29,6,0.0,0.0,0.0,None,2021,9,29,6,12.09,11.12,12.93,1028,83,1.98,0.0,83,broken clouds
2021-09-29 07:00:00,2021,9,29,7,0.0,0.0,0.0,None,2021,9,29,7,12.69,10.34,13.48,1028,78,2.34,0.0,87,overcast clouds
2021-09-29 08:00:00,2021,9,29,8,0.0,0.0,0.0,None,2021,9,29,8,15.77,11.77,16.26,1029,75,2.15,0.0,65,broken clouds
2021-09-29 09:00:00,2021,9,29,9,0.0,0.0,0.0,None,2021,9,29,9,18.54,15.57,19.04,1029,67,1.76,0.0,18,few clouds
2021-09-29 10:00:00,2021,9,29,10,0.0,0.0,0.0,None,2021,9,29,10,19.59,17.57,20.15,1029,66,2.09,0.0,3,sky is clear
2021-09-29 11:00:00,2021,9,29,11,0.0,0.0,0.0,None,2021,9,29,11,20.53,20.57,21.77,1029,65,2.69,0.0,12,few clouds
2021-09-29 12:00:00,2021,9,29,12,0.0,0.0,0.0,None,2021,9,29,12,21.66,20.72,22.23,1028,64,2.86,0.0,25,scattered clouds
2021-09-29 13:00:00,2021,9,29,13,0.0,0.0,0.0,None,2021,9,29,13,22.75,19.72,24.54,1028,61,2.78,0.0,26,scattered clouds
2021-09-29 14:00:00,2021,9,29,14,0.0,0.0,0.0,None,2021,9,29,14,23.32,20.72,23.48,1027,61,2.71,0.0,31,scattered clouds
2021-09-29 15:00:00,2021,9,29,15,0.215,0.0,0.0,None,2021,9,29,15,23.81,20.72,24.04,1027,59,2.95,0.0,44,scattered clouds
2021-09-29 16:00:00,2021,9,29,16,0.433,0.0,0.149,Low,2021,9,29,16,23.75,20.72,24.04,1026,58,3.36,0.0,25,scattered clouds
2021-09-29 17:00:00,2021,9,29,17,0.292,0.0,0.315,Low,2021,9,29,17,22.94,19.72,23.48,1026,61,3.22,0.0,21,few clouds
2021-09-29 18:00:00,2021,9,29,18,0.522,0.0,0.06,None,2021,9,29,18,21.41,19.55,21.82,1026,65,3.44,0.0,10,sky is clear
2021-09-29 19:00:00,2021,9,29,19,0.581,0.0,0.0,None,2021,9,29,19,20.07,16.72,20.7,1027,69,3.21,0.0,2,sky is clear
2021-09-29 20:00:00,2021,9,29,20,0.506,0.0,0.0,None,2021,9,29,20,18.93,15.72,19.59,1027,72,2.98,0.0,10,sky is clear
2021-09-29 21:00:00,2021,9,29,21,0.534,0.0,0.0,None,2021,9,29,21,18.06,14.72,18.48,1027,74,2.8,0.0,11,few clouds
2021-09-29 22:00:00,2021,9,29,22,0.726,0.0,0.0,None,2021,9,29,22,17.63,14.72,17.93,1027,79,2.47,0.0,16,few clouds
2021-09-29 23:00:00,2021,9,29,23,0.662,0.0,0.0,None,2021,9,29,23,17.69,13.72,18.48,1027,72,2.4,0.0,5,sky is clear
2021-09-30 00:00:00,2021,9,30,0,0.704,0.0,0.0,None,2021,9,30,0,13.69,12.72,15.66,1027,87,2.07,0.0,39,scattered clouds
2021-09-30 01:00:00,2021,9,30,1,0.466,0.0,0.0,None,2021,9,30,1,16.98,12.72,17.93,1026,71,1.93,0.0,88,overcast clouds
2021-09-30 02:00:00,2021,9,30,2,0.356,0.0,0.0,None,2021,9,30,2,13.46,12.57,15.1,1026,88,1.81,0.0,98,overcast clouds
2021-09-30 03:00:00,2021,9,30,3,0.355,0.0,0.0,None,2021,9,30,3,12.62,11.72,14.54,1025,90,1.78,0.0,73,broken clouds
2021-09-30 04:00:00,2021,9,30,4,0.346,0.0,0.0,None,2021,9,30,4,12.6,11.72,14.54,1025,91,1.77,0.0,42,scattered clouds
2021-09-30 05:00:00,2021,9,30,5,0.351,0.0,0.0,None,2021,9,30,5,16.84,10.72,17.37,1025,73,1.83,0.0,28,scattered clouds
2021-09-30 06:00:00,2021,9,30,6,0.454,0.0,0.0,None,2021,9,30,6,11.17,10.72,13.43,1025,91,1.81,0.0,40,scattered clouds
2021-09-30 07:00:00,2021,9,30,7,0.372,0.0,0.002,None,2021,9,30,7,11.24,10.72,15.11,1026,90,1.71,0.0,2,sky is clear
2021-09-30 08:00:00,2021,9,30,8,0.366,0.0,0.228,Medium,2021,9,30,8,19.07,14.54,19.59,1026,64,1.86,0.0,0,sky is clear
2021-09-30 09:00:00,2021,9,30,9,0.0,0.0,0.268,High,2021,9,30,9,20.37,18.34,20.7,1026,62,1.03,0.0,25,scattered clouds
2021-09-30 10:00:00,2021,9,30,10,0.0,0.0,0.268,High,2021,9,30,10,22.22,19.72,22.88,1026,62,0.73,0.0,84,broken clouds
2021-09-30 11:00:00,2021,9,30,11,0.0,0.0,0.278,Very High,2021,9,30,11,22.91,22.79,23.99,1026,62,0.48,0.0,30,scattered clouds
2021-09-30 12:00:00,2021,9,30,12,0.026,0.0,0.352,Very High,2021,9,30,12,24.4,20.72,24.59,1025,54,0.62,0.0,65,broken clouds
2021-09-30 13:00:00,2021,9,30,13,0.003,0.0,0.378,High,2021,9,30,13,24.91,19.72,25.57,1024,56,1.21,0.0,89,overcast clouds
2021-09-30 14:00:00,2021,9,30,14,0.0,0.0,0.45,High,2021,9,30,14,26.2,23.44,26.26,1024,51,2.17,0.0,24,few clouds
2021-09-30 15:00:00,2021,9,30,15,0.0,0.0,0.42,High,2021,9,30,15,26.48,21.72,26.82,1023,49,3.05,0.0,19,few clouds
2021-09-30 16:00:00,2021,9,30,16,0.054,0.0,0.35,High,2021,9,30,16,25.81,19.72,26.26,1023,51,3.27,0.0,0,sky is clear
2021-09-30 17:00:00,2021,9,30,17,0.105,0.0,0.216,Low,2021,9,30,17,23.69,17.72,24.23,1023,61,2.81,0.0,1,sky is clear
2021-09-30 18:00:00,2021,9,30,18,0.419,0.0,0.032,None,2021,9,30,18,22.03,16.72,23.12,1023,67,2.29,0.0,55,broken clouds
2021-09-30 19:00:00,2021,9,30,19,0.341,0.0,0.0,None,2021,9,30,19,19.9,15.72,20.9,1023,75,1.65,0.0,96,overcast clouds
2021-09-30 20:00:00,2021,9,30,20,0.585,0.0,0.0,None,2021,9,30,20,18.72,14.72,19.79,1023,77,1.08,0.0,98,overcast clouds
2021-09-30 21:00:00,2021,9,30,21,0.523,0.0,0.0,None,2021,9,30,21,18.2,14.72,18.48,1024,80,1.56,0.0,98,overcast clouds
2021-09-30 22:00:00,2021,9,30,22,0.562,0.0,0.0,None,2021,9,30,22,17.53,12.72,17.93,1023,80,1.32,0.0,100,overcast clouds
2021-09-30 23:00:00,2021,9,30,23,0.599,0.0,0.0,None,2021,9,30,23,17.63,13.72,17.93,1023,82,2.06,0.0,100,overcast clouds
2021-10-01 00:00:00,2021,10,1,0,0.611,0.0,0.0,None,2021,10,1,0,16.57,13.72,16.82,1023,85,1.23,0.0,99,overcast clouds
2021-10-01 01:00:00,2021,10,1,1,0.557,0.0,0.0,None,2021,10,1,1,15.96,12.72,16.26,1023,86,1.87,0.0,92,overcast clouds
2021-10-01 02:00:00,2021,10,1,2,0.446,0.0,0.0,None,2021,10,1,2,16.04,12.72,16.26,1022,85,1.49,0.0,93,overcast clouds
2021-10-01 03:00:00,2021,10,1,3,0.336,0.0,0.0,None,2021,10,1,3,16.11,12.72,16.26,1022,88,1.5,0.0,14,few clouds
2021-10-01 04:00:00,2021,10,1,4,0.306,0.0,0.0,None,2021,10,1,4,14.96,12.72,15.15,1022,89,1.1,0.0,60,broken clouds
2021-10-01 05:00:00,2021,10,1,5,0.268,0.0,0.0,None,2021,10,1,5,15.57,12.72,15.7,1022,90,1.35,0.0,86,overcast clouds
2021-10-01 06:00:00,2021,10,1,6,0.279,0.0,0.0,None,2021,10,1,6,15.36,11.72,15.7,1022,89,1.24,0.0,92,overcast clouds
2021-10-01 07:00:00,2021,10,1,7,0.281,0.0,0.0,None,2021,10,1,7,14.9,12.72,15.15,1022,91,1.06,0.0,98,overcast clouds
2021-10-01 08:00:00,2021,10,1,8,0.585,0.0,0.047,None,2021,10,1,8,15.62,13.72,15.7,1023,91,1.18,0.0,99,overcast clouds
2021-10-01 09:00:00,2021,10,1,9,0.064,0.0,0.187,Low,2021,10,1,9,15.56,15.66,16.78,1023,85,1.24,0.0,94,overcast clouds
2021-10-01 10:00:00,2021,10,1,10,0.005,0.0,0.248,High,2021,10,1,10,18.74,17.79,20.11,1023,75,2.09,0.0,98,overcast clouds
2021-10-01 11:00:00,2021,10,1,11,0.0,0.0,0.258,Very High,2021,10,1,11,20.23,19.72,21.77,1023,67,2.19,0.0,100,overcast clouds
2021-10-01 12:00:00,2021,10,1,12,0.0,0.0,0.262,Very High,2021,10,1,12,21.07,19.72,22.57,1023,65,2.66,0.0,78,broken clouds
2021-10-01 13:00:00,2021,10,1,13,0.025,0.0,0.329,Very High,2021,10,1,13,22.03,19.72,23.68,1023,58,2.66,0.0,77,broken clouds
2021-10-01 14:00:00,2021,10,1,14,0.014,0.0,0.34,High,2021,10,1,14,23.23,19.72,25.34,1022,60,2.66,0.0,97,overcast clouds
2021-10-01 15:00:00,2021,10,1,15,0.02,0.0,0.373,High,2021,10,1,15,23.82,19.72,24.04,1022,62,3.46,0.0,100,overcast clouds
2021-10-01 16:00:00,2021,10,1,16,0.052,0.0,0.376,Medium,2021,10,1,16,23.42,18.72,23.48,1022,71,3.44,0.0,100,overcast clouds
2021-10-01 17:00:00,2021,10,1,17,0.189,0.0,0.267,Low,2021,10,1,17,21.86,18.72,22.01,1021,77,3.05,0.0,100,overcast clouds
2021-10-01 18:00:00,2021,10,1,18,0.714,0.0,0.034,None,2021,10,1,18,20.72,17.72,20.7,1022,80,2.5,0.0,100,overcast clouds
2021-10-01 19:00:00,2021,10,1,19,0.422,0.0,0.0,None,2021,10,1,19,19.74,17.72,19.79,1022,86,1.45,0.0,100,overcast clouds
2021-10-01 20:00:00,2021,10,1,20,0.374,0.0,0.0,None,2021,10,1,20,19.22,17.72,19.79,1022,88,0.85,0.0,100,overcast clouds
2021-10-01 21:00:00,2021,10,1,21,0.255,0.0,0.0,None,2021,10,1,21,19.21,17.72,19.23,1022,89,0.97,0.0,100,overcast clouds
2021-10-01 22:00:00,2021,10,1,22,0.324,0.0,0.0,None,2021,10,1,22,18.68,17.72,19.23,1021,90,1.58,0.0,100,overcast clouds
